Var	Rank	Full_name	Par_name	Legend	Units	Org_units	Scale	Shading	Processing	Round
runoff_mm_pgi	194	Glacial Ice Melt fraction in Runoff (p)	Runoff	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
runoff_mm_pgn	195	Glacial Non-Ice Melt fraction in Runoff (p)	Runoff	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
runoff_mm_pr	196	Rainwater fraction in Runoff (p)	Runoff	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
runoff_mm_pu	197	Unsustainable water fraction in Runoff (p)	Runoff	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
resStorage_mm_ps	198	Snowment fraction in steam/reservoir storages (p)	Storage	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0		%.2f
resStorage_mm_pg	199	Glacial Melt fraction in steam/reservoir storages (p)	Storage	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0		%.2f
resStorage_mm_pgi	200	Glacial Ice Melt fraction in steam/reservoir storages (p)	Storage	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0		%.2f
resStorage_mm_pgn	201	Glacial Non-Ice Melt fraction in steam/reservoir storages (p)	Storage	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0		%.2f
resStorage_mm_pr	202	Rainwater fraction in steam/reservoir storages (p)	Storage	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0		%.2f
resStorage_mm_pu	203	Unsustainable water fraction in steam/reservoir storages (p)	Storage	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0		%.2f
endoStrg_mm_ps	204	Snowment fraction in endorheic lakes (p)	Storage	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0		%.2f
endoStrg_mm_pg	205	Glacial Melt fraction in endorheic lakes (p)	Storage	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0		%.2f
endoStrg_mm_pgi	206	Glacial Ice Melt fraction in endorheic lakes (p)	Storage	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0		%.2f
endoStrg_mm_pgn	207	Glacial Non-Ice Melt fraction in endorheic lakes (p)	Storage	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0		%.2f
endoStrg_mm_pr	208	Rainwater fraction in endorheic lakes (p)	Storage	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0		%.2f
endoStrg_mm_pu	209	Unsustainable water fraction in endorheic lakes (p)	Storage	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0		%.2f
runoffStrg_mm_ps	210	Snowment fraction in runoff storage (p)	Storage	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0		%.2f
runoffStrg_mm_pg	211	Glacial Melt fraction in runoff storage (p)	Storage	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0		%.2f
runoffStrg_mm_pgi	212	Glacial Ice Melt fraction in runoff storage (p)	Storage	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0		%.2f
runoffStrg_mm_pgn	213	Glacial Non-Ice Melt fraction in runoff storage (p)	Storage	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0		%.2f
runoffStrg_mm_pr	214	Rainwater fraction in runoff storage (p)	Storage	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0		%.2f
runoffStrg_mm_pu	215	Unsustainable water fraction in runoff storage (p)	Storage	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0		%.2f
smResStrg_mm_ps	216	Snowment fraction in SIR storage (p)	Storage	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0		%.2f
smResStrg_mm_pg	217	Glacial Melt fraction in SIR storage (p)	Storage	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0		%.2f
smResStrg_mm_pgi	218	Glacial Ice Melt fraction in SIR storage (p)	Storage	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0		%.2f
smResStrg_mm_pgn	219	Glacial Non-Ice Melt fraction in SIR storage (p)	Storage	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0		%.2f
smResStrg_mm_pr	220	Rainwater fraction in SIR storage (p)	Storage	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0		%.2f
smResStrg_mm_pu	221	Unsustainable water fraction in SIR storage (p)	Storage	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0		%.2f
irrVIS_mm_ps	222	Snowment fraction in VIS storage (p)	Storage	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0		%.2f
irrVIS_mm_pg	223	Glacial Melt fraction in VIS storage (p)	Storage	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0		%.2f
irrVIS_mm_pgi	224	Glacial Ice Melt fraction in VIS storage (p)	Storage	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0		%.2f
irrVIS_mm_pgn	225	Glacial Non-Ice Melt fraction in VIS storage (p)	Storage	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0		%.2f
irrVIS_mm_pr	226	Rainwater fraction in VIS storage (p)	Storage	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0		%.2f
irrVIS_mm_pu	227	Unsustainable water fraction in VIS storage (p)	Storage	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0		%.2f
soilMoist_mm_ps	228	Snowment fraction in soil storage (p)	Storage	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0		%.2f
soilMoist_mm_pg	229	Glacial Melt fraction in soil storage (p)	Storage	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0		%.2f
soilMoist_mm_pgi	230	Glacial Ice Melt fraction in soil storage (p)	Storage	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0		%.2f
soilMoist_mm_pgn	231	Glacial Non-Ice Melt fraction in soil storage (p)	Storage	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0		%.2f
soilMoist_mm_pr	232	Rainwater fraction in soil storage (p)	Storage	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0		%.2f
soilMoist_mm_pu	233	Unsustainable water fraction in soil storage (p)	Storage	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0		%.2f
aqfStorage_mm_ps	234	Snowment fraction in aquifers (p)	Storage	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0		%.2f
aqfStorage_mm_pg	235	Glacial Melt fraction in aquifers (p)	Storage	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0		%.2f
aqfStorage_mm_pgi	236	Glacial Ice Melt fraction in aquifers (p)	Storage	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0		%.2f
aqfStorage_mm_pgn	237	Glacial Non-Ice Melt fraction in aquifers (p)	Storage	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0		%.2f
aqfStorage_mm_pr	238	Rainwater fraction in aquifers (p)	Storage	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0		%.2f
aqfStorage_mm_pu	239	Unsustainable water fraction in aquifers (p)	Storage	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0		%.2f
grndWater_mm_ps	240	Snowment fraction in Ground Water (p)	Storage	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0		%.2f
grndWater_mm_pg	241	Glacial Melt fraction in Ground Water (p)	Storage	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0		%.2f
grndWater_mm_pgi	242	Glacial Ice Melt fraction in Ground Water (p)	Storage	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0		%.2f
grndWater_mm_pgn	243	Glacial Non-Ice Melt fraction in Ground Water (p)	Storage	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0		%.2f
grndWater_mm_pr	244	Rainwater fraction in Ground Water (p)	Storage	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0		%.2f
grndWater_mm_pu	245	Unsustainable water fraction in Ground Water (p)	Storage	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0		%.2f
discharge_m3s_ps	246	Snowment fraction in Discharge (p)	Discharge	['Rainbow(0.1:100000)Log', 'Rainbow(0.1:100000)Log', 'Rainbow(0.1:100000)Log']	['m3/sec', 'm3/sec', 'm3/sec']	['m3/sec', 'm3/sec', 'm3/sec']	['', '', '']	5:0	log:zero	%.3f
discharge_m3s_pg	247	Glacial Melt fraction in Discharge (p)	Discharge	['Rainbow(0.1:100000)Log', 'Rainbow(0.1:100000)Log', 'Rainbow(0.1:100000)Log']	['m3/sec', 'm3/sec', 'm3/sec']	['m3/sec', 'm3/sec', 'm3/sec']	['', '', '']	5:0	log:zero	%.3f
discharge_m3s_pgi	248	Glacial Ice Melt fraction in Discharge (p)	Discharge	['Rainbow(0.1:100000)Log', 'Rainbow(0.1:100000)Log', 'Rainbow(0.1:100000)Log']	['m3/sec', 'm3/sec', 'm3/sec']	['m3/sec', 'm3/sec', 'm3/sec']	['', '', '']	5:0	log:zero	%.3f
discharge_m3s_pgn	249	Glacial Non-Ice Melt fraction in Discharge (p)	Discharge	['Rainbow(0.1:100000)Log', 'Rainbow(0.1:100000)Log', 'Rainbow(0.1:100000)Log']	['m3/sec', 'm3/sec', 'm3/sec']	['m3/sec', 'm3/sec', 'm3/sec']	['', '', '']	5:0	log:zero	%.3f
discharge_m3s_pr	250	Rainwater fraction in Discharge (p)	Discharge	['Rainbow(0.1:100000)Log', 'Rainbow(0.1:100000)Log', 'Rainbow(0.1:100000)Log']	['m3/sec', 'm3/sec', 'm3/sec']	['m3/sec', 'm3/sec', 'm3/sec']	['', '', '']	5:0	log:zero	%.3f
discharge_m3s_pu	251	Unsustainable water fraction in Discharge (p)	Discharge	['Rainbow(0.1:100000)Log', 'Rainbow(0.1:100000)Log', 'Rainbow(0.1:100000)Log']	['m3/sec', 'm3/sec', 'm3/sec']	['m3/sec', 'm3/sec', 'm3/sec']	['', '', '']	5:0	log:zero	%.3f
baseflow_mm_ps	252	Snowment fraction in Discharge (p)	Baseflow	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
baseflow_mm_pg	253	Glacial Melt fraction in baseflow (p)	Baseflow	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
baseflow_mm_pgi	254	Glacial Ice Melt fraction in baseflow (p)	Baseflow	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
baseflow_mm_pgn	255	Glacial Non-Ice Melt fraction in baseflow (p)	Baseflow	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
baseflow_mm_pr	256	Rainwater fraction in baseflow (p)	Baseflow	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
baseflow_mm_pu	257	Unsustainable water fraction in baseflow (p)	Baseflow	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
GrossIrr_mm_ps	258	Snowment fraction in Gross Irrigation (p)	Gross Irrigation	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
GrossIrr_mm_pg	259	Glacial Melt fraction in Gross Irrigation (p)	Gross Irrigation	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
GrossIrr_mm_pgi	260	Glacial Ice Melt fraction in Gross Irrigation (p)	Gross Irrigation	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
GrossIrr_mm_pgn	261	Glacial Non-Ice Melt fraction in Gross Irrigation (p)	Gross Irrigation	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
GrossIrr_mm_pr	262	Rainwater fraction in Gross Irrigation (p)	Gross Irrigation	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
GrossIrr_mm_pu	263	Unsustainable water fraction in GrossIrr (p)	Gross Irrigation	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
NetIrr_mm_ps	264	Snowment fraction in Evapotranspiration (p)	Evapotranspiration	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
NetIrr_mm_pg	265	Glacial Melt fraction in Evapotranspiration (p)	Evapotranspiration	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
NetIrr_mm_pgi	266	Glacial Ice Melt fraction in Evapotranspiration (p)	Evapotranspiration	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
NetIrr_mm_pgn	267	Glacial Non-Ice Melt fraction in Evapotranspiration (p)	Evapotranspiration	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
NetIrr_mm_pr	268	Rainwater fraction in Evapotranspiration (p)	Evapotranspiration	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
NetIrr_mm_pu	269	Unsustainble water fraction in Evapotranspiration (p)	Evapotranspiration	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
IrrFlow_mm_ps	270	Snowment fraction in Irrigation from Flow (p)	Irrigation from Flow	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
IrrFlow_mm_pg	271	Glacial Melt fraction in Irrigation from Flow (p)	Irrigation from Flow	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
IrrFlow_mm_pgi	272	Glacial Ice Melt fraction in Irrigation from Flow (p)	Irrigation from Flow	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
IrrFlow_mm_pgn	273	Glacial Non-Ice Melt fraction in Irrigation from Flow (p)	Irrigation from Flow	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
IrrFlow_mm_pr	274	Rainwater fraction in Irrigation from Flow (p)	Irrigation from Flow	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
IrrFlow_mm_pu	275	Unsustainable water fraction in Irrigation from Flow (p)	Irrigation from Flow	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
IrrGrwt_mm_ps	276	Snowment fraction in Irrigation from Ground Water (p)	Irrigation from Ground Water	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
IrrGrwt_mm_pg	277	Glacial Melt fraction in Irrigation from Ground Water (p)	Irrigation from Ground Water	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
IrrGrwt_mm_pgi	278	Glacial Ice Melt fraction in Irrigation from Ground Water (p)	Irrigation from Ground Water	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
IrrGrwt_mm_pgn	279	Glacial Non-Ice Melt fraction in Irrigation from Ground Water (p)	Irrigation from Ground Water	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
IrrGrwt_mm_pr	280	Rainwater fraction in Irrigation from Ground Water (p)	Irrigation from Ground Water	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
IrrGrwt_mm_pu	281	Unsustainable water fraction in Irrigation from Ground Water (p)	Irrigation from Ground Water	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
IrrEvap_mm_ps	282	Snowment fraction in Irr Water Evaporation (p)	Irr Water Evaporation	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
IrrEvap_mm_pg	283	Glacial Melt fraction in Irr Water Evaporation (p)	Irr Water Evaporation	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
IrrEvap_mm_pgi	284	Glacial Ice Melt fraction in Irr Water Evaporation (p)	Irr Water Evaporation	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
IrrEvap_mm_pgn	285	Glacial Non-Ice Melt fraction in Irr Water Evaporation (p)	Irr Water Evaporation	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
IrrEvap_mm_pr	286	Rainwater fraction in Irr Water Evaporation (p)	Irr Water Evaporation	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
IrrEvap_mm_pu	287	Unsustainable water fraction in Irr Water Evaporation (p)	Irr Water Evaporation	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
IrrPercRice_mm_ps	288	Snowment fraction in Irr Percolation, Rice (p)	Irr Percolation, Rice	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
IrrPercRice_mm_pg	289	Glacial Melt fraction in Irr Percolation, Rice (p)	Irr Percolation, Rice	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
IrrPercRice_mm_pgi	290	Glacial Ice Melt fraction in Irr Percolation, Rice (p)	Irr Percolation, Rice	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
IrrPercRice_mm_pgn	291	Glacial Non-Ice Melt fraction in Irr Percolation, Rice (p)	Irr Percolation, Rice	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
IrrPercRice_mm_pr	292	Rainwater fraction in Irr Percolation, Rice (p)	Irr Percolation, Rice	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
IrrPercRice_mm_pu	293	Unsustainable water fraction in Irr Percolation, Rice (p)	Irr Percolation, Rice	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
IrrPercIneff_mm_ps	294	Snowment fraction in Irr Percolation, Inefficient (p)	Irr Percolation, Inefficient	['RainbowRB(0:20)', 'RainbowRB(0:100)', 'RainbowRB(0:500)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
